substudy_num,study_num,g_sp,beta,vi,sei
54,16,Tautogolabrus_adspersus,0.0288288288288288,874743467382.052,935277.2141894894
54,16,Tautogolabrus_adspersus,0.0288288288288288,874743467382.052,935277.2141894894
54,16,Tautogolabrus_adspersus,0.0288288288288288,874743467382.052,935277.2141894894
246,67,Trachinops_caudimaculatus,0.00245245245245245,22768266.6354432,4771.610486559354
246,67,Trachinops_caudimaculatus,0.00245245245245245,22768266.6354432,4771.610486559354
246,67,Trachinops_caudimaculatus,0.00245245245245245,22768266.6354432,4771.610486559354
246,67,Trachinops_caudimaculatus,0.00245245245245245,22768266.6354432,4771.610486559354
246,67,Trachinops_caudimaculatus,0.00245245245245245,22768266.6354432,4771.610486559354
